,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,mitten,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window,zebra
alligator,0.0,1.1557935,0.9829525,1.0459404,1.1588215,1.1858436,0.88839245,1.0667675,1.1419849,0.9285403,1.0996716,0.8394351,1.1689229,1.0061771,0.715076,0.9887126,0.9518807,0.86803836,1.0468329,1.1399052,1.0821475,0.9952802,0.9375529,1.2229973,0.5640893,1.2563922,1.0986834,0.98699653,0.9032111,1.0955989,0.9925579,1.1316187,1.2527174,0.8231687,1.0948459,0.87982047,1.0514684,1.0635481,0.7835279,1.1550857,1.2079927,0.6616163,0.7602855,1.0651559,1.1496226,1.1051818,1.0676363,0.9756916,1.2365685,0.8428234,1.135665,1.0794947,0.5576073,0.96835196,1.0381845,0.8517064,0.40775216,0.7742791,1.2814165,1.0521635,1.0699503,1.0863308,1.0891263,0.9206014,1.1603843,0.9270742,0.63567334,0.9145684,1.0709894,1.2097507,1.0950018,0.8814382,1.0676497,0.94998646,0.9979336,0.97264385,1.0631058,1.1007109,1.1016293,1.0824527,1.0735835,1.0611479,1.1519305,1.1533651,1.1978539,0.94505143,1.1089268,1.1311584,1.0189723,0.8106894,0.855067,0.7518228,1.0603237,0.84700894,0.84687924,1.112355,0.8256088,0.9287326,0.65424,1.07829,1.0618695,0.9718871,1.2178458,0.7972058,0.84378237,1.0395737,0.7946241,1.0391191,0.86151236,1.1533132,1.2107812,1.0578234,0.9092971,0.88602,1.0081838,0.8102298,1.0242939,1.1723478,0.95958525,1.1165272,1.0614562,1.1318885,1.1996655,1.1242249,1.0843309,1.037184,1.0473789,1.0577649,1.0237368,1.2069317,1.0805033,1.0678993,0.8216586
ankle,1.1557935,0.0,0.9488462,0.8360995,0.9402205,0.9539013,1.0886626,0.9645418,1.1354091,1.0462704,1.0181754,1.083336,1.1531757,1.1265316,1.0678419,0.9509382,1.0982525,1.192607,1.065633,0.96081513,1.239078,0.87313366,0.887371,0.9395356,1.1638163,0.8858392,1.0441213,0.8068472,1.1475111,0.9302386,0.9903185,1.2073256,0.870997,0.9698724,0.9181341,1.0427475,1.058689,1.2194898,1.0048587,1.1627091,1.0101105,1.0943854,1.1526971,0.9563957,1.1736022,1.0268327,0.8939414,1.1043417,0.68632585,1.0745184,1.082287,0.69668984,1.0706024,1.0609595,0.6828183,0.7955591,1.1656728,1.0877397,1.1680486,0.99331796,0.86521566,0.9202503,0.9838488,1.0026233,0.8538933,0.96530706,1.1023031,0.9851062,1.1052977,1.1020187,0.8149862,1.0486612,1.2420268,1.0021585,0.8438773,1.1402059,1.0264614,1.0243268,0.9975953,0.95291126,0.8792187,0.7266917,0.86943805,0.99784833,1.1885772,1.0865722,0.7930409,0.8829777,1.2009103,1.0318769,0.96666986,1.0382842,0.79522955,1.0517695,0.80309105,0.86354077,1.0372318,1.0796171,1.1151909,0.97114664,0.9885983,1.1246003,1.2175975,1.0565825,1.0610827,0.94095504,1.0058802,0.77443856,0.945451,1.1102158,0.96735924,1.142484,0.9674341,1.1614829,0.9793431,0.8734252,0.90351146,1.0959164,0.9640019,1.0899489,1.0235904,1.2536157,0.9220126,0.61139536,0.99000657,0.9948203,0.81166637,1.0597098,1.2224042,1.0633861,0.8248162,1.1284533,1.0789467
apple,0.9829525,0.9488462,0.0,1.3435408,0.64519745,0.49282312,0.5449877,1.01671,1.4820495,1.1179696,1.5073045,0.5232221,1.3986669,1.3708905,0.8816649,1.5449284,0.87401795,1.1954865,0.58052576,0.576599,1.3439435,1.2573662,0.9546369,0.9909592,1.0183896,1.0723243,1.1768132,0.7837797,1.304115,1.1734478,0.6565926,1.4728308,0.9078262,0.8975323,0.75394547,0.68111354,1.4342403,1.3110853,0.40260023,1.4975504,0.7516109,0.88440037,1.031546,1.0491847,1.4659559,1.1740923,1.18121,0.9159988,0.52842546,1.231953,1.2027593,0.70157456,0.6551225,0.816908,0.69238347,0.86310357,0.77816397,1.0669755,1.227848,0.8565014,0.826298,1.0250615,1.2022969,0.8189528,1.201566,0.606069,0.95063984,0.9187613,1.313094,1.1707072,1.3756449,1.0105271,1.3694409,0.621533,1.204633,1.2708715,0.6748637,1.0826708,0.9679593,0.4462186,1.0470185,0.820281,0.73023623,0.26935494,1.2921845,0.99168235,1.2850142,1.3715105,1.2866229,0.5080669,0.5654781,0.8168228,0.78927743,1.0592266,1.126023,1.2609696,0.7633456,0.49845505,0.92842275,0.86799157,1.1218951,0.7430713,1.431747,0.8718224,0.84523535,1.4366937,0.8655598,1.2308296,0.731688,1.3065652,1.1866537,1.3388141,0.53615224,1.2575257,0.4503206,0.9239903,0.631555,1.257885,0.2572931,1.2517781,1.373095,1.431024,0.66960967,0.60488784,0.809523,1.208591,0.9640152,0.59957516,1.0856481,1.3179921,0.80129486,1.341997,1.1717187
arm,1.0459404,0.8360995,1.3435408,0.0,1.3108406,1.4080719,1.0697895,1.3100284,0.5582255,0.9999224,0.5187409,1.3868281,0.66045535,0.5621259,1.334583,0.5202551,1.2140107,0.9572243,1.4286206,1.3586675,0.70059353,0.61003417,1.2648883,1.2764598,1.1758487,1.2324482,1.0163057,0.92298883,0.89331853,1.1363803,1.2929782,0.8221722,1.0584837,1.1680641,1.2126305,1.3146706,0.5161799,0.6631888,1.3767725,0.85934865,1.3280556,1.3508301,1.2525046,1.1124972,0.7098666,1.0956815,0.810369,1.1282597,1.1042222,0.9664277,0.5574987,0.82437783,1.4297965,1.2818971,0.7748277,0.989743,1.3925629,1.227032,0.8856381,1.0181459,0.9667471,0.8780444,0.66948676,1.1896608,0.40592372,1.2360327,1.3233305,1.1494547,0.62087417,0.95876455,0.50636834,0.8026277,0.8778059,1.4006883,0.49592698,0.92951417,0.99146706,0.7097616,0.8711581,1.2508613,1.0445905,0.9604523,1.0368272,1.3528812,0.79264486,1.2509649,0.5934523,0.49094063,0.6694416,1.3731887,1.3253611,1.3974884,1.1041633,1.118707,0.9885978,0.7332104,1.3274908,1.3591251,1.3305569,1.0302134,1.20503,1.3588749,0.80819726,1.3491565,1.2339252,0.37932634,1.2097569,0.5329889,1.1504683,0.909565,0.8914291,0.7337774,1.3596061,0.8599278,1.4121989,1.0836782,1.3011795,0.8759771,1.3105813,1.0355394,0.5898495,0.6527509,1.3610559,0.8930183,1.1161853,0.51502967,1.2130921,1.3886478,0.8114263,1.0015996,1.333122,0.76046985,1.1269145
ball,1.1588215,0.9402205,0.64519745,1.3108406,0.0,0.158028,0.9820316,0.849179,1.2225659,1.1676178,1.27455,0.9714545,1.2610302,1.2132834,0.90576875,1.2284569,1.0232918,0.9044324,0.84060705,0.8970154,1.0372727,1.2491906,0.8386297,0.7701266,0.87649965,0.9510275,0.96220124,1.190489,1.1825383,1.1359489,0.9898765,1.1620435,0.9339215,1.1025714,0.5634843,0.7397913,1.2755487,1.071331,0.9664748,1.1276735,0.8489982,0.879921,0.9348014,0.8913414,1.2986186,1.0550697,1.216642,0.96608305,0.8520496,1.1213048,1.2230233,1.1864914,1.0165181,0.72920716,1.2428515,1.2065892,0.8657169,0.8933289,0.8949964,1.1594496,0.949535,0.8719786,1.2328235,0.9362809,1.2034568,1.0113328,0.90097064,1.0639306,1.2635434,0.90947354,1.3170035,1.2450404,1.2793493,0.92200524,1.2341228,0.9988862,0.6337003,1.0797371,0.97850776,0.9112683,1.1251189,1.1500841,1.076574,0.6715189,1.2228692,0.808316,1.1675687,1.3250092,0.9783116,1.0268152,0.87671316,0.95112705,0.8106196,1.075473,1.0294937,1.1720357,0.86209273,0.97617185,0.92827487,0.98885196,0.818719,0.918559,1.2330388,0.87573135,0.9233774,1.3103027,0.99452704,1.1715827,1.0739056,1.1520278,1.1744077,1.0296962,1.0078441,1.1057123,0.75014925,1.0396181,0.9338736,0.8320394,0.71215904,0.8735684,1.3079906,1.0783051,0.5087053,1.1172613,1.141092,1.2451138,1.0062208,0.4101162,1.1529382,0.96944255,0.7523772,1.107177,0.89272654
balloon,1.1858436,0.9539013,0.49282312,1.4080719,0.158028,0.0,0.96356833,0.81767726,1.2800574,1.172472,1.3758972,0.78624517,1.2637258,1.3340582,0.8898131,1.3834217,0.88102674,1.0248634,0.66605383,0.7135765,1.1796396,1.2851541,0.80069447,0.6706804,0.9987077,0.82729214,0.99453187,1.0853701,1.2967556,1.0160075,0.9153079,1.2083328,0.84704757,0.9826388,0.64457303,0.72627234,1.3766187,1.1513684,0.7469108,1.1989614,0.69860923,0.8692055,0.99623984,1.0175273,1.3155501,1.0033553,1.1952436,1.01397,0.8085395,1.159503,1.277158,1.0987957,0.94184715,0.6820928,1.1673038,1.1043546,0.91198176,0.9226963,0.9841664,1.1049961,0.8503674,0.87553126,1.3005891,1.0142981,1.2719471,0.9339687,0.88165,0.9794185,1.3258057,0.9790981,1.371561,1.1442611,1.2043045,0.7191583,1.3595185,1.1342971,0.711931,1.1410393,0.9087036,0.7561197,1.0523527,1.0365639,0.9752846,0.6230311,1.2281111,0.9422659,1.2102472,1.383645,1.146576,0.84302366,0.70479226,0.9333455,0.86996996,1.0759921,1.0896523,1.2474382,0.78006065,0.83282787,0.9008088,1.0866929,0.88581204,0.82881474,1.2378186,0.90087074,0.813977,1.3978426,0.9479343,1.236322,0.95282793,1.1545373,1.1073985,1.1031,0.8404749,1.19634,0.5947239,1.0091337,0.75462556,0.9198486,0.6198661,0.95010376,1.3894385,1.2010373,0.44346,1.0113282,0.99566865,1.2915487,0.9144169,0.32249093,1.1882031,0.9707096,0.6748774,1.156084,0.92648715
banana,0.88839245,1.0886626,0.5449877,1.0697895,0.9820316,0.96356833,0.0,1.1040317,1.1833806,1.1048527,1.2414818,0.7393402,1.3231859,0.99317795,1.0737969,1.2685598,0.97636676,1.0378871,0.7526132,0.8028321,1.067727,1.141919,1.1147786,1.1074467,0.9819759,1.1997961,1.2357395,0.6673365,1.156605,1.2065663,0.8271963,1.3214065,1.0387017,0.9854277,0.9351346,0.63201183,1.2136885,0.97846335,0.570852,1.2908576,0.89829993,1.1181381,1.1644405,1.055244,1.3327923,1.1653671,1.0719175,1.0073466,0.75517744,1.1559976,1.0505778,0.72085065,0.8167849,1.0924823,0.76188254,0.7978232,0.85711694,1.1382036,1.094635,0.837274,0.87250686,0.97252446,1.0572988,0.90273285,1.0070637,0.7251909,1.1682513,0.93908864,1.087812,0.97818047,1.1729834,0.8537151,1.2240427,0.9215025,1.049021,1.1206417,0.9273603,0.93405735,0.9027831,0.7277751,0.9915452,0.84034956,0.80596495,0.5075902,1.2221355,1.0508829,1.2001637,1.1551995,1.098388,0.64689654,0.7516335,0.965032,1.0340812,1.174099,1.0963389,1.1314887,1.0145769,0.5807295,1.1683483,0.6881029,1.1099908,0.9067145,1.3473493,1.1693066,0.7931716,1.1796207,0.98715883,1.0402348,0.8053797,1.3005078,1.2301931,0.9288157,0.7680369,1.124576,0.6866102,0.81986463,0.81865764,1.1699326,0.7401357,1.1077164,1.0728282,1.1386342,0.7957164,0.7435619,0.8448719,0.81341857,1.016135,0.75845706,0.9126817,1.2915065,1.0064564,1.2322263,1.2202153
basket,1.0667675,0.9645418,1.01671,1.3100284,0.849179,0.81767726,1.1040317,0.0,1.1548371,1.2787132,1.1232034,0.8935213,1.1345466,1.0509387,0.9765143,1.0625275,0.9952438,0.77880037,0.75787723,0.636635,0.93113625,0.927176,0.6651865,0.5067821,1.0062677,0.5543639,0.9490324,1.2736742,1.3667852,0.7393346,1.0445656,0.9551817,1.0205126,0.8304912,0.83631,0.76823175,1.2001413,1.0539994,0.8716055,0.6680128,0.66716444,0.9583055,1.0983429,0.78266156,1.1863686,0.59310216,1.0414944,1.1860939,1.1780101,1.281628,1.3528231,1.2719454,0.99943423,0.72498226,1.1902254,0.9587219,0.9652107,0.9228152,0.85860276,1.2147268,0.9027661,0.92328906,1.3544841,1.0657592,1.2497222,1.0739796,1.0272611,0.8886026,1.3283373,0.92723,1.3168751,1.0239835,0.9919466,0.8483056,1.3129624,0.91011494,1.061785,1.2252944,1.1092354,1.0607601,0.5544221,1.1935035,1.2685971,1.0677339,1.0487523,0.97032535,1.139141,1.32552,1.155875,0.8714101,0.75247264,1.0718541,0.9779443,1.2631028,0.7831226,0.95465505,0.82487386,0.7589326,1.0433342,1.2549601,0.52841985,0.70301133,0.9774112,1.0269479,0.77483153,1.3638277,0.65482473,1.2158581,0.8264876,1.0129056,0.82636094,1.0940081,0.8310364,1.228121,0.8156558,0.8800323,0.77409285,1.0261858,0.98913336,0.73892266,1.2906054,1.1151474,0.66006637,1.1498117,1.0550915,1.1747099,0.54426426,0.85270333,0.9022444,0.76895607,0.7317414,1.1407444,0.99614835
bathtub,1.1419849,1.1354091,1.4820495,0.5582255,1.2225659,1.2800574,1.1833806,1.1548371,0.0,1.106746,0.36231232,1.3749648,0.4838183,0.59883934,1.364921,0.4343065,1.0580703,0.9120624,1.4151752,1.2304424,0.5575298,0.73717475,1.1794846,0.9960297,1.1259506,1.0220768,0.878925,1.10781,0.8131157,0.96265984,1.2629974,0.46259785,1.147364,1.0523096,1.1962557,1.2611823,0.50433946,0.5944389,1.4251487,0.5591755,1.2915126,1.3776035,1.2853062,1.2237194,0.45223987,0.75333965,0.8802002,1.141166,1.3062372,0.8905727,0.7594476,1.269936,1.4609178,1.2907529,1.1654131,1.1390631,1.3940125,1.2115299,0.67930996,1.2449833,1.1508892,0.9244906,0.8149295,1.2357534,0.81668866,1.4401286,1.3314389,1.09738,0.62573254,1.0040472,0.49302375,0.8123188,0.57748663,1.2739788,0.7272934,0.8858972,1.1012386,0.79527056,1.0572362,1.314626,0.9721579,1.2704687,1.2341015,1.4045835,0.63218963,1.1998302,0.6412604,0.5480043,0.6112568,1.3503242,1.3320248,1.4724014,1.1563069,1.1495275,1.0324614,0.880339,1.3565536,1.2836543,1.3368921,1.0544274,1.152359,1.2889266,0.5167902,1.4387158,1.1444023,0.5223409,1.2335392,0.64562017,1.2511076,0.78963983,0.5539017,0.38476765,1.4007096,0.8320023,1.4103818,1.0697223,1.3517172,0.6265306,1.5051818,0.87069046,0.5525902,0.4314375,1.2127701,1.3411961,1.0535405,0.6329793,1.1765453,1.2048097,0.67026585,0.8106274,1.2678505,0.5873431,1.1179415
bear,0.9285403,1.0462704,1.1179696,0.9999224,1.1676178,1.172472,1.1048527,1.2787132,1.106746,0.0,1.0979303,1.1689277,0.9893203,1.0386851,0.8224446,1.0496027,1.1239624,1.1001627,1.2175361,1.2255718,1.0629829,0.99505985,1.1655302,1.1971043,0.91918087,1.135261,1.0635916,0.9374112,0.6522418,1.1687407,1.0161513,1.0929707,1.1120116,1.0444834,1.0538872,1.1837156,1.0412354,1.0118043,1.2008675,1.1553893,1.2647862,0.79028356,0.5909102,1.0794072,0.9512865,1.1261858,0.9347469,0.8638116,0.9042726,0.48448348,0.94135696,0.9557458,0.88122684,1.1781998,0.9765952,1.0174925,0.92732835,0.8453992,1.1153717,0.9456506,1.0646498,1.0037152,0.8631144,0.92244524,0.94949204,0.99285,0.6404988,0.9979653,1.0243229,1.0594957,0.95447594,0.9766724,1.089823,1.1791856,0.91606826,1.030085,0.95210975,0.82508296,0.8396757,1.1350895,1.1154906,0.9107409,0.85245925,1.1285106,1.0319065,1.0418057,1.0462061,0.8979535,1.0328739,1.1886773,1.2079375,0.6741885,0.9952794,0.26697528,1.1405231,0.99282473,1.0885859,1.2418786,0.65647644,0.92150605,1.126605,1.1299639,1.0293165,0.7105703,1.1599872,0.96980643,1.1631773,0.98893523,1.1323311,0.98858625,1.0857624,1.0934043,1.1548338,0.9441649,1.2383091,1.0312092,1.1047024,1.1072158,0.9971156,1.1121846,1.0128716,1.1648033,1.2728765,1.015728,1.0484924,0.97965217,1.1636679,1.2424102,1.100097,1.042494,1.2084762,1.0508665,0.7982243
