,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,cat,chair,clock,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,egg,face,finger,fish,flower,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,lamp,melon,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,spoon,sprinkler,table,tape,toe,tooth,towel,toy,tray,tree,tricycle,vacuum,watch,window
alligator,0.0,1.0589119199515553,0.90980130466455,1.1554343583774909,1.1506096191719335,0.8293600918538446,0.9910425337297446,0.8367105086099956,0.8481463153241782,1.1307681072924718,0.7881126025755593,0.858942646454069,0.9950292213069658,0.7317480281645803,0.8654813436458739,1.038050144383059,1.2570990222688663,1.0517127149505852,0.9845454903160704,1.1175543299610164,0.9087457662440581,1.2061658129628643,1.0154169901955594,1.1767208939301141,0.9186469079440989,0.8603861830685405,1.2945397258922882,0.8192598201684442,0.8697927742268883,1.1271619708645917,1.2307745052238566,0.8787564270071219,1.282199755872155,0.9709704417557651,0.7870141697138314,0.801756243658199,0.7159755611173095,1.2190519733072345,1.0168326849617069,1.053005177536468,1.261840295401835,0.9741203921155397,1.1192360700292658,0.6864961693417768,0.9779069586449735,0.6875373034967559,0.7284048085658774,1.1403258191549468,0.7527646399088922,1.169288148814107,0.8790006689199998,1.0319550738881889,0.9169644595943758,1.1452980656142713,0.6420072476688787,0.8206926565174051,1.0058843083219802,1.1186292567832217,1.2593014513678207,0.8842601992036532,0.648869304655131,0.8484099207488136,0.6152470020357745,0.8755747585644317,1.1924737222818071,1.0317724771550343,1.047285468793679,1.0371576789868802,1.21864060985095,1.0697087396366025,1.1741467855586452,0.8966559834609099,0.9658364419437908,0.8139979017431117,1.2291763703428167,1.2465351484533422,1.0455869070381036,0.8260653228858408,0.9844633401601681,0.6893287173171433,1.0088686762448833,1.0518561289665247,0.8067484194297143,1.1671445225979045,0.9014121882913213,0.9893686172795509,0.9605298153697241,0.8573438206756143,0.7820348854578709,0.8398685044956414,1.0287004779142839,0.9215904525568928,0.9457311499565227,1.3145931192822935,0.620018427089021,1.2459124814485125,0.8837609921515611,0.7612374611995752,0.5303294769126488,0.7714561941963786,1.2378381574286517,1.2469193403817795,1.0582484261030003,1.0300909314424727,0.9961104020012495,0.7465726950054694,0.7140612388082893,1.1384737448828643,0.9782362988065451,1.2850067275417254,1.1481329521110728
apple,1.0589119199515553,0.0,1.144881950103539,0.41151128149536853,0.5072298068210709,0.5064034388652426,0.8363788617378011,1.2159493306732205,1.144817007437227,0.8769973064940394,1.3121372284695951,1.1861324385065828,0.9139862579710502,1.2830161149253,0.637962179163408,0.9180775364256105,0.6547103662678494,0.5183654671721876,0.9911435783478026,0.5295166437057744,1.329474549181386,1.1164361941353032,1.2259010067756695,0.84177578540487,1.067895072864702,1.2310925136654536,0.782120940495449,1.1050704072208228,1.1667548706845066,0.7976895048400343,0.6497296435835213,1.2495787667633693,0.6752931799328495,0.9216573319403841,1.2214726139099856,0.9516965551942783,1.3889418928921275,1.003894306868067,1.227100638728936,0.93771537331559,0.4025696572350126,1.1172173087394808,0.7021443878679505,0.8457180687594487,0.993334010699407,0.9238266304324615,1.1768673837827015,0.8029200975047549,0.5650400002497468,0.3331854989502866,1.1291786343525114,0.723689932601854,0.8088617396986649,0.7647225027566974,1.2872621502684507,1.1539908222454462,1.0843530135620711,0.748283464734608,0.8418813874694488,0.34917034938169955,0.7308303848920417,1.2260180464494426,1.197165759716987,0.8372155561858462,0.4652164854964591,0.8283799917360715,0.7557146101231478,0.8385607819016497,0.3375068049524781,1.0745709370203362,0.9466026078908529,1.1383673585424505,1.0830896919728845,1.1185128123022716,0.7463660457492272,0.8207610358827871,0.438904990140101,1.0219172631797009,0.8149073311249231,1.0484970130809579,0.6811614255745694,0.8125068498344044,0.9883696701040459,1.0697132583489841,1.1752355830434524,0.8999025361761692,1.2076976355622258,0.6654452292600193,1.2668522125289763,0.9364060758413099,0.9511001589494036,1.2606792027721558,1.188186999263447,0.8102255225142057,1.2343292965268058,0.6695323442026605,0.7899107387941566,0.9176780770078753,1.2204487202137677,1.088856031775338,0.4720296536291535,0.5503904359192436,0.6386281128320388,0.8174241015900182,0.3803182964852081,0.8341045839475736,1.1559427974909249,1.0961219286638526,1.2808261592336407,0.7555033352679714,1.007970635406648
arm,0.90980130466455,1.144881950103539,0.0,1.3393916333411289,1.1548870013430692,1.0885894612125058,0.9279091799209481,0.8944303831003062,0.5101725171516103,1.1276016907199125,0.6559460039571486,0.5498160881493688,1.262677774053562,0.7506561495566055,1.1050250959399381,1.1061756478451374,1.3079160077783318,1.203416103365305,0.8871957266558347,1.2929974802775723,1.0022847632970653,1.1625724493683944,0.9211375904967825,0.9664856990706555,1.0238299717002377,0.4738406680312339,1.3688437724677027,0.6055766804153623,0.44236925546652706,1.138395743315368,1.309838452755824,0.9053630373642668,1.3253713817763775,1.0877819499414865,0.8200386682260552,0.691102642786688,0.6971950761161715,1.2578580854461379,0.6060565704617779,1.2237450672764776,1.1743867311608098,0.5416346067132944,0.8240639423199843,0.9314789839607727,1.17105616033317,0.8817324252095866,0.8226310836568311,1.0894179156614399,1.074263493826787,1.1649792116465556,0.5893045644624701,1.2705522855525033,0.5754847693419807,1.2280054149559494,0.8142139090521081,0.8510714343879656,0.49816772001927334,1.232273366390523,1.3781517484814727,1.0115378279104883,0.7230216566649184,1.0508993897989825,0.901268546000003,1.0899256167432434,1.1557830244718768,0.9865997027233081,0.868767434771829,1.019051946888719,1.283719304744257,1.097882721136245,1.182772794019875,0.6247237202733653,0.42065921937232453,0.9329685350813041,1.2900546925884269,1.3068777863009249,1.0611595536749083,0.7584738284611487,1.0241353176979813,1.110433634315656,1.0419224950222776,1.2630641171280235,0.9831265645601535,1.1983139071687468,0.6710796106743563,1.2399741147184724,0.6802236282345402,1.1070686549660604,0.4992817944673338,0.9213251897226844,0.8509946503683845,1.0147059216470515,0.8435775116805199,1.3319807014496186,0.7480800475734072,1.268199425905712,0.8511621240531656,1.0816349521994097,0.8543971916265061,0.6440979984295645,1.3344979857251806,1.1926720076854538,1.0076421461582614,0.931174282152372,1.2975996275494077,1.1070954993991207,0.9529432045603315,1.106381427269834,0.8494855712269428,1.209184482573588,1.006126494573485
ball,1.1554343583774909,0.41151128149536853,1.3393916333411289,0.0,0.23270588003920278,0.6226842073693173,0.7303132583309936,1.289621036345593,1.1342487424321788,1.0032172273209392,1.2234648471141738,1.224892437087065,0.8104472139935724,1.1183744656743768,0.7857301392358411,0.709490191094551,0.5807699222344005,0.7000937895919375,0.903747223960816,0.8129749478851849,1.2068209912489625,0.8490190453862672,1.2235335056588463,0.875475563340151,1.085892695925379,1.3391817049029462,0.6427952431146424,1.2437119898584625,1.1868469224188563,1.0401328100153338,0.7948531529138523,1.2030903799294586,0.6503318270870142,0.8514731528627325,1.2137524793837255,0.9569965154274009,1.2961114708863661,0.8907860030331074,1.2001051600148855,0.8111864258874121,0.43545222859695354,1.1342105367130055,1.0713745228882285,0.9427397416476493,0.8158487214152291,0.9172771886177665,1.1255909437174887,0.8810977628576899,0.8518148040525113,0.6500879968566134,1.2425907494377975,0.7669942354558441,1.159046029269704,0.7471017432918996,1.2708956180376119,1.1376118134278816,1.1728205118101698,0.9120523144818734,0.8611193790349185,0.6791974874869082,1.0953184200449173,1.0824284958133448,1.1111621075248213,0.8530722300803246,0.6821048248656477,0.9532958415186175,1.0583428771732817,1.0910097767819535,0.4263447829608452,1.0431554203020272,0.8137887966270912,1.201245134531348,1.2501078201960238,1.0680457363025808,0.8883976494454842,0.8334149822813157,0.7931072393127586,1.0111834931621877,1.1226148252303227,0.9787082523126108,0.790537995852347,0.7219992341242761,0.8427081671184471,0.9631601262825947,1.1850135624976113,0.7950088472473213,1.1963828095837998,0.7200290554994097,1.2577556211917347,1.0492794371323664,1.1505805164960339,1.1325932108485095,1.073831607816653,0.8789951320942805,1.2735258624236343,0.7762536526413255,0.9984942952188283,0.9624342394531124,1.1533365209504955,1.0954342223244677,0.5784405109392978,0.7162900757298416,0.9506184544532114,0.963458898405144,0.31601892091657247,0.8194495227886792,1.1282505387827122,0.9195614760426054,1.0825652689133773,0.8143232888339387,1.054835778345931
balloon,1.1506096191719335,0.5072298068210709,1.1548870013430692,0.23270588003920278,0.0,0.860322088465979,0.6669654800886253,1.2406432209735034,1.144939992076936,1.0116130406466572,1.235205030148303,1.150476704319013,0.8139262664412923,1.114178041551418,0.7197776457675484,0.8183309474527778,0.6613043088191877,0.7553541942697339,0.8665745768506179,0.9522960786290077,1.106562587346816,0.8388490584367232,1.0464053842457772,0.6918126866655333,1.0695248374619195,1.2241724925235073,0.7738059584252449,1.1253858368859868,1.1649653517111633,0.9677093087118279,0.8898322069052533,1.1549791695806229,0.7286815919909728,0.8934408794392943,1.1893959244859247,0.8429672689278844,1.2054002885844155,0.8655851500360379,1.070158459695839,0.8144769834088934,0.5688706012950903,1.053983369286323,1.0518873469376684,0.9606261774552681,0.7395083767692799,0.9197296807331579,1.0322901090537882,0.9806150872111817,0.8500881349391163,0.739463713269053,1.125851328199081,0.8736945316298419,1.0836722193708503,0.7896387932213503,1.166847564204737,1.1116863035169091,1.11612403868684,0.9886412416864269,0.9381551578228535,0.7714479295493538,1.0000633698156243,1.1310794047369601,1.1082370876835534,1.1045654173583856,0.7682354487528966,0.8226849108702146,0.9975008247748324,1.0077305689770264,0.536782329036488,0.9083508214090407,0.7373406413185105,1.0747071711616825,1.1737239594323285,1.0830618374850869,0.9323707823758884,0.880692522694928,0.8821191344190984,1.0230663319204953,1.1378803756813416,0.9421827716224564,0.8059237265631767,0.725979762837127,0.883878387594091,1.0032857818971135,1.0874013997635774,0.77524252557967,1.12072512188108,0.7550095231889311,1.227947092455155,0.9728790642549376,1.041384931409554,1.0137789218940898,1.0717001002886861,0.9649000565331487,1.2215909933451194,0.9018368011782871,0.9164827509185565,0.97091201051655,1.1106591300431252,1.0832830134420135,0.7816112924918545,0.7848657995851289,0.963982337118002,0.9077091432907642,0.498221935406046,0.9035690312912605,1.052369929686865,0.8674312215641822,0.9215298280832868,0.9126762849563306,1.051454103993817
banana,0.8293600918538446,0.5064034388652426,1.0885894612125058,0.6226842073693173,0.860322088465979,0.0,0.8209980174370262,1.2347205951747176,0.8922679683957312,1.189208125710807,1.0818728623194207,0.9947135901409448,0.9693777935913671,0.9816879059495796,0.7742928142733583,0.8614075238394185,0.9953404343993291,0.8023212696566802,0.8500833320329273,0.757011748459281,1.2217477388254039,1.194233424102907,1.2650335378792263,1.047334068518445,1.169673148997926,1.0740109400603282,1.0992880482297187,1.0123780637416189,0.9357988803069192,1.0154989493870399,1.0586913822892197,1.034579381927624,0.9777892913423072,0.6760378116448942,1.0850609616361973,0.6297702259731719,1.1834546221767068,1.198581512280439,1.139764668255232,0.9875887662773694,0.8577607651979926,0.9676045594439396,0.9290814578821464,0.5718579949114111,0.9955088828454223,0.38905614731374083,0.9822899117490503,0.9415041758201746,0.8018575536006582,0.8267278643768887,1.0624689299770391,0.7882983488141754,0.832977533883656,0.9521391549876355,1.089480717431568,0.9762857339092234,1.0310918002754332,1.0931203668933271,1.1526751721115005,0.40974878339534415,0.7295420242767057,1.0655249214837217,0.9830688719446726,0.733404374483667,0.9887574290658435,0.9056836216080636,1.0332679077436073,1.080482063713478,0.8725758013971766,1.129350998598019,1.0350864845177077,1.0335500816404621,1.106986819482924,1.0062436941388495,1.1556467719164307,1.1441499173728582,0.8476323575885493,0.8820122375756623,0.947541542645105,1.047945482666543,0.7872833509986777,0.9356591246095939,0.675454520143025,1.1474133129763027,1.0661599309602798,0.9748161863087883,1.1043417528365236,0.49374693228950794,1.017755755895906,0.9763121424326097,1.1437123321972618,1.1599198061877571,1.0442480981788937,1.0879756580724325,1.0790880895240298,1.0108292642826309,0.9278466329931997,0.802501488827859,1.045028093046078,0.8361175269997315,0.8774483790464925,1.02488717631944,0.8493179029475864,0.8338635815283822,0.37859144286811763,0.6256070529507523,1.1079103049617323,1.0901679249264475,1.1539018660863607,1.045567995565668,1.0931111892253997
basket,0.9910425337297446,0.8363788617378011,0.9279091799209481,0.7303132583309936,0.6669654800886253,0.8209980174370262,0.0,1.0450219187970688,0.8446410969191298,0.9074679574730967,0.8196081828460533,0.7805872264119035,1.152750598357009,0.7860080889601488,0.5946700509470542,0.71318536400673,0.966878698164289,0.511422348096166,0.4004706915725408,1.1199045419244489,0.9776904137198755,0.9808540469952386,0.9917310498776314,0.7960300836482173,1.114613830877702,0.7388563695113495,1.1953126213026646,0.9783009839900493,0.7733841423103749,1.1341847244270093,1.1952004083347327,0.7359384083259891,1.0618002979794707,0.844189506420356,0.8973358342485388,0.6454941118909063,1.088784593368447,1.048422108826787,0.7377949022204151,1.144291205149401,1.0722211420709133,0.9989221694601399,1.0722393223414584,0.9148785204528781,0.9640797650365326,0.8396898729141642,0.7620340997552013,1.2075994574275832,0.9331944563979963,1.0620552244026285,0.9890243696850772,0.9740447092369505,0.912545846291178,1.0579848449123932,0.9541514658909274,1.0285046821027228,0.8766781728337206,1.0737688794747278,1.2234125350306295,0.8836547059341084,0.7547995684625255,0.9185193988880689,0.9479556369906379,0.8402214785809696,1.2252487283869011,0.7621152566891229,1.0859540590209726,1.065307019666183,1.1030947707632723,1.029234913283889,1.1257632844065864,0.7946004977612405,0.9118917784354379,0.9055149980681735,1.1727167108536045,1.2823775355674147,0.8960630484581609,0.6129989968685232,1.1449332915449904,1.1079753775714563,0.7780623255066874,1.1635970883176525,0.7416946716819687,1.0891433637257584,0.9580638210829308,1.1275700408197007,0.9438125050270316,0.7867367584007386,1.0135930705443168,0.8908813085140915,1.016794751856772,1.0387121171209444,0.9668628924533859,1.1437700254119598,1.0702442600808357,1.171716827922856,0.8107205043099525,0.8089300666266118,1.0814059256086672,0.6810317540238415,1.0189360632639346,1.1197316602450864,1.1041498567758474,0.7552978838660871,0.7081264784779544,0.6285251173465005,1.1659830094957222,0.957637097880392,0.8878089009475992,1.2135794455185884,0.7726684767016954
bathtub,0.8367105086099956,1.2159493306732205,0.8944303831003062,1.289621036345593,1.2406432209735034,1.2347205951747176,1.0450219187970688,0.0,1.0009085547188865,0.9190131660359215,0.7398834485019707,1.0174992516568702,1.0859949221576515,0.88158853722668,0.9821324797189689,1.1215271531954598,1.2408835619204597,1.0172384192350532,0.9827171237621236,1.229062210874369,0.7649399129785246,1.0385014193587843,0.7548819365678019,1.0949983661150684,0.84727741409514,0.8472687557203227,1.1676243467838796,0.9310926784605271,0.9654072558114021,1.066499277781152,1.1896568271861403,0.7813064918463427,1.2058442076569158,1.0859162223922394,0.961862764884433,1.1581281044791802,0.7342978585768725,0.9743601289716508,1.0248402049015712,1.065475944588122,1.1579139972090355,1.093190225436841,1.055454480853705,1.0707341431656507,1.1835726202341843,1.0278429928471053,0.8344274048359905,1.2192538132294346,1.1229242975720686,1.1687394399097044,1.048537399882195,1.2788523405229535,0.9734942922643602,1.2675881461668195,0.5965068850697419,1.0641532993667633,0.9870281289839086,1.043224249058818,1.0106841831460285,1.1399731047225061,0.9960509835571001,0.9039887469269459,0.7964193986875537,1.117718787059944,1.1702941843091328,1.0448248099503978,1.0644168443461832,1.1148771253465077,1.1756695247840447,0.973366658018619,1.0922664294951427,0.9554644390870592,0.8359340759556828,0.9912446459546992,1.0618401778586974,1.143888994242431,1.1320664238016926,0.992493499527013,0.9484022057693281,1.0259081574280522,1.1621554282240583,1.1150712610101006,1.139970267154407,0.982074073191059,0.9745740312034298,1.030505727159036,0.9977092132878459,1.1195563454503172,0.9285523428897595,0.9804610217958291,0.9747826547879475,0.7448955822275211,1.0604061920653851,0.9519343827841471,0.6058895733121965,1.173302373134951,1.0947559367764759,0.77308676062606,0.6806874538436785,0.8655703561336298,1.2104066809317624,1.1916179526418271,1.1675255750235514,1.044314482334923,1.3101539477975186,1.0448245501868676,0.8929899099804841,1.0294593398880167,0.9076047328108738,1.1934322969691187,1.079610166914884
bed,0.8481463153241782,1.144817007437227,0.5101725171516103,1.1342487424321788,1.144939992076936,0.8922679683957312,0.8446410969191298,1.0009085547188865,0.0,1.2310697083317887,0.484124701987269,0.5064703411957956,1.2760913173249575,0.46789965386484245,1.1985545944995029,1.0129762577211938,1.3002123539849135,1.190352780768649,0.8564263950773896,1.2787413446741538,1.1436366898203936,1.2695249072150978,1.1780203708912234,1.1618921305327712,1.0863284617594946,0.5252999689679159,1.3438748094069193,0.7686659007925987,0.04066089195094613,1.2346184271489038,1.2910177025109868,0.8126464404646798,1.31460445781132,1.0488153977301498,0.7425593607595874,0.7654192506801104,0.6982198992700517,1.3878353416123723,0.6087038291130268,1.2532890091108064,1.1683575505843307,0.5762398849957301,1.0651406990673422,0.869745804446719,1.1380071613025304,0.7376251153639778,0.7298007864354168,1.0694509749080088,1.1375375313059102,1.15985022409546,0.7365769574032132,1.1815970824739557,0.8883580791441886,1.2764969808802666,0.8843410830227338,0.7094984880789192,0.42060667771312277,1.257960088236063,1.4245091584620602,1.001966092131406,0.81675325308627,1.016553788994865,0.786580031670294,0.924754983474489,1.1922275493859218,1.0390113711470919,1.0860070875224594,1.173235245284352,1.2258436848901637,1.283419803747061,1.2051783263232587,0.7292133058527639,0.40585268355969806,0.816363409747251,1.3503831631330576,1.3282948895359412,1.063949268251318,0.647425164132164,1.073323416083259,1.0694177037590895,1.068915774765164,1.2830633783823686,0.8247142063565877,1.2486189211716698,0.6765597706383285,1.264542249919546,0.6039652795582318,1.0277480368926792,0.3836402457014335,0.9583306709819428,1.0987008554252398,1.1719258274104167,0.581972797819225,1.3901431710189898,0.6972783777751075,1.3050152216777735,0.898432320086582,1.0735142980888857,0.8476785007365042,0.3640531327811938,1.236952204190867,1.2220924840064473,0.9826218983668983,0.944447195878956,1.069484928267131,0.8946314472635135,0.9117710760577494,1.0527815911487852,0.9966191799347105,1.230214416658831,1.0759442118507916
belt,1.1307681072924718,0.8769973064940394,1.1276016907199125,1.0032172273209392,1.0116130406466572,1.189208125710807,0.9074679574730967,0.9190131660359215,1.2310697083317887,0.0,1.0298564600406428,0.9237397108452905,1.1739648277679524,1.2266573531822291,0.8864682126412662,1.1108780789393937,0.8885721578556703,0.6148815861028385,1.1477183677903213,0.6982219573890046,0.886445400128921,0.7790647555896221,0.8049055576026722,0.8586886761779078,0.8690391905277549,0.9099416904395007,0.7695989447308412,1.1152823749339593,1.179852533686552,0.7688682454370865,0.7390169479112192,1.1059267426761332,0.9071899557557311,1.0365264951651625,0.8705997509322329,1.0443477417768232,1.2752254981381852,0.7180130616884454,0.9014517617364886,1.146639600334301,0.8345705800629867,1.237509384311657,0.7030005654911337,1.0062573639616441,1.1345115615191967,1.340803206015779,1.2267342653660198,0.8664211887392628,0.6475782967794549,0.7082089543962076,0.9720347018113662,0.9087962910200751,0.8807092401567285,0.6228268810058301,1.2233888010740475,0.9973930257701236,0.9657906057369469,0.385762483464299,0.7004963662652319,0.9663819905619325,0.7363127505708829,0.9379242695160395,1.2399551581062451,0.850526106226508,0.7738467249984461,0.7839472095084528,0.5983151414139553,0.631440190999791,0.8894549382995718,0.7724558352534303,1.2539493115189477,0.9826828137562477,0.899407436665445,1.075391177928363,0.5551748657857773,0.8135296054279784,0.6128505453085771,0.8045536524880628,0.8274925873321037,1.1917239936360726,0.8822712645500511,1.1446899299604072,1.0558884685032277,0.6751232461673407,1.0844729771845152,1.2001789814853123,0.9745329479416538,1.0190477984978394,1.139801175621249,0.7576424268247395,0.5544701780897836,0.9310096826192051,1.2341027051896893,0.7112902274641926,1.2241831796657738,0.6694858637039712,0.6990675500135377,1.0000568058935841,1.2035989295684133,1.257313019133681,0.7333650993993199,0.6757849614114335,0.8705836011365067,0.6948683298769913,1.1143565378448999,1.1284698242769822,1.278004454120559,1.1536715501641785,1.0134827946922176,0.834809520976302,0.7127337714062989
