,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,cloud,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,duck,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.4277596789163773,1.3861044076423714,1.0082253487836488,0.5546675527449625,1.1364493989504865,1.273113947715733,0.80327708430083,1.2991207004954153,0.5645199248931678,0.511789776025042,1.2659356158080022,0.7884400925037295,0.5402475233615752,0.5960206836456552,0.5819518697151405,0.42349788902886476,1.252034189541519,1.3890483502943516,1.3604280693112287,0.9061110913692418,1.3163777547499786,1.115740831693397,1.1646754429658257,1.3057790284634139,1.3238638479547773,1.1670864901381204,1.2080457622686704,0.9176980836528675,0.9034006217335714,0.9048528835610372,1.3315333173123804,0.7993370229843674,1.010310769259133,0.9137905762828676,1.0182311354168945,1.0790921684359795,1.177865818383233,0.8422626977725753,0.8290723972628247,1.405985723990839,0.5941031294777566,1.4410724389856586,1.1086079828341615,0.9917812211429342,0.7663828668728778,0.9545131215743082,0.9066350799942138,0.6097477139777828,0.7833602364975435,1.0296919165963618,1.3825181884150082,0.5428963326010259,0.7130540611270508,1.2438866771560084,1.043188722441626,1.0622110604339352,0.9550984588005744,1.185790394649113,1.318815383755054,0.562500166446293,0.9031130766013105,1.3951177995664499,1.0675015721555978,0.6235387132437462,1.3906818534315164,0.7360817941906739,0.9938814261638829,0.9295287492346668,1.2340278971282648,1.012795914692786,0.4695662320256757,0.6374520505284307,0.600056770951082,1.1237670338292063,0.594432870926233,1.155394526690421,0.8786186241496184,1.4069418362664132,0.8449611874749647,0.9018169454480631,0.9495811789123776,0.9510019724210786,0.6543194978444109,0.8616049272278505,0.6443954635712124,1.0602329925230376,1.4010444908415005,1.1860546595154364,1.341922786463127,1.1258910007921972,1.2258297630371222,1.0717399773264153,0.9226576636479787,0.6081052910003872,0.715501612312716,0.8723250349576089,0.7676777258825798,1.426532328719645,1.3792859099630816,0.667181198189861,0.9938900494293573,0.8014591362004914,1.3061169214357162,0.9802937143888331,0.8937540129606265,1.3865065191021877,0.7297728000153921,1.2137156634825952,0.7525389287760949,1.1406437199764747,1.3177544974103115,0.9203703166867456,0.780814508417013,0.6491786256230508,1.2864062716818327,0.9827415794059909,0.6691709027782551,0.5960706948751937,0.7652721953760475,0.8292040227807074,0.7929594490686797,0.677911580295685,0.8845890949366952,0.28672159220017424,1.410329636468412,0.702675228075758,1.304245105594486,1.0007994444797266,0.7388765050151389,1.0946878103434683,0.5361918720140155,0.889964447758142,1.2611989214625146,0.6654832107979971,0.5435054576165281,0.5729363594870942,0.5101956950287808,1.4572309252831355,1.3620743874442123,1.0723264309144063,0.9740594328670582,1.1282993572405293,1.0716316971553417,0.9950762660534321,0.668282472534274,0.8078351659097923,0.8797875983350294,1.0453212117524757,1.4046782069716262,0.7905746161540148,0.7470747240311935
ankle,1.4277596789163773,0.0,0.5186850770431906,0.9414743833432584,1.1716052228422418,0.7852732133964277,0.6036925037838964,1.0021710550161358,0.8037694179210225,1.3684361061302053,1.5367895298433796,0.4011882156988842,1.119526267044096,1.303671195434796,1.2138895203825248,1.3278584595267167,1.3090566447231473,0.8168389506370183,0.5957990349422093,0.5163758296880321,1.178164568390014,0.549286295028386,0.882140619889171,0.732204604810134,0.6920916431469368,0.6289889014395805,0.7154854791753517,0.5953314226980283,0.9156013904585281,1.129543171240156,1.2267708774501627,0.8561827450570381,1.3096976020103397,0.9759971211503344,1.0051409023203417,1.0150832640642231,1.0190247747689125,0.6566839977420235,1.2583647708592371,1.1956202298387495,0.4096890364530177,1.4890033571773393,0.5294351216140316,0.6907881584820738,0.8260357692222048,1.1259719495038223,1.2239497017199874,1.1542779930941833,1.2470859337829716,0.9919158760463959,0.8410000601813835,0.45061122041518253,1.210269517892058,1.1676950138524622,0.4481744006698337,0.9391966714282242,0.626697696194037,1.0049706066270896,0.5045161877208029,0.5027634402365264,1.1988421610641078,1.0078793033693745,0.22276376327315983,0.5753715033562878,1.2291359933933648,0.520528718797839,1.0889340392159528,1.0633524306383988,0.8110131850443916,0.424470088023828,0.9328813858456034,1.1578237417564166,1.2462771042655776,1.2836535188370766,1.111978212561049,1.2311327772721232,0.7235224956940602,1.1781192147306232,0.620355966458008,0.9903902519397039,1.232795179701428,0.9704706481348759,1.2462000776992466,1.0457408613925918,1.2677338266446714,1.2899505407676435,1.007721678498644,0.3744116205360719,0.7763824832703913,0.2712762497458331,0.6743253281961291,0.5944166682968922,1.1971262337853545,1.0975295150922124,1.3253581403682932,1.177696889658114,1.162321860589401,1.324707326514084,0.4483895695248673,0.450429424133306,1.0624304584183366,1.0161201895623402,0.9378885403177872,0.6651767092742247,1.1373866188919088,1.1195621033101295,0.6172311997204646,1.0158557806419775,0.6554898633105417,1.247060657714296,1.0688514169733507,0.35326454342912106,1.371831327412681,1.1825431967530167,1.3346290717741358,0.61673619504789,0.7807571450165289,1.2240488798200304,1.3163508439852125,1.1088288696429318,0.9769524679890721,1.0576595260330577,1.397395375472989,1.144076452821971,1.4159918758425103,0.31573123207383413,1.2380466934252528,0.7493217454117392,0.8452657892346056,1.2391820151358433,0.8205087735107148,1.340919679262335,0.9928293363431563,0.6087379586884706,1.3298519700648461,1.2570398808906023,1.2044486757804946,1.4994806087782246,0.5018043008123882,0.3251295183397577,0.7333416093012242,0.854723011189748,0.8438814823204257,0.7889341100981568,1.1997413364077962,1.2568034503648686,1.1593980584980614,1.091450642015932,0.8950311799998485,0.2149406956159169,1.2734625800126933,1.3031493219021577
apple,1.3861044076423714,0.5186850770431906,0.0,0.8390777018568929,1.4150683594632265,0.43963357027640826,0.2629342171812371,0.7328618836787688,0.7592374329367999,1.3551945757233723,1.4552541913313013,0.7962541017348401,1.20507970243271,1.3715222771760047,0.9549420978934042,1.316709048665913,1.0973636099138866,0.6906389487430982,0.19262998085587602,0.26160868357772693,1.1968871032531876,0.3762340269132133,0.7878285012488953,0.5255866988708373,0.5396730064497576,0.7034497268608161,0.5425474608413478,0.6917948207413628,1.034655541679332,1.1271949241903727,0.9754835675758292,0.5754529071683833,1.3067743994129315,0.9665291444936565,1.1274602908776903,1.0588337945304014,1.064222831177166,0.8377956069194947,1.3682023060677968,1.2732698632717434,0.23999629602497263,1.4006149107591097,0.2000118596005216,0.9807285329364687,0.8440012948536855,1.0476751259369805,1.2250161308554592,1.3082363931048755,1.3612129235337078,0.8205915501158706,1.0489565372442446,0.3517172629760086,1.2345364620696433,1.2145277463931157,0.8510866090883673,0.8835252034729335,0.48162988020704467,0.6477415806237455,0.9917798739007034,0.7908802744636232,0.8826710404979472,1.0787590982861213,0.43494172135791764,0.820065500762367,1.0930087394059063,0.2877883678595763,1.2542004182523443,0.7779300135811447,1.1641019578921568,0.488755072160862,0.8736098613344172,1.2343171997650604,1.2035984573034126,1.298237060575433,0.8577419083386284,1.4345244228809824,0.8779090056578178,1.0830224574367113,0.4004379515392965,1.2644133709090917,1.202631700488511,0.6784302975762502,1.0766388283693165,1.1662400966074213,1.1871733249983525,1.0742508485538702,1.004081369711273,0.2086396017091392,0.7981566794862216,0.6849429942054672,0.9619435350666106,0.2857151344175042,1.2769765461900904,0.7584903478455062,1.436962088305762,1.3787296136894338,1.2402549164897718,1.2229318670081155,0.5615142174684509,0.3756026294869832,1.1481200337477315,1.1538109614646967,1.122770991937714,0.9373426856037472,1.0006613209046895,0.8341972416249694,0.28620280861125746,1.146896528559811,0.27580058947181296,1.2387699763877995,1.0044881196286133,0.6656159957175036,1.3128912295865987,1.0219937889070883,1.176190345065887,0.6612430485974575,1.0802064352996872,1.0805785032815038,1.401449568907984,1.126170559110473,1.2785637789358593,0.9547565517257081,1.3037162373127342,1.1380499801540434,1.309885232742402,0.28679932070852265,1.1791356545836469,0.39873071629866286,0.9829413009481665,1.1454761951023729,0.8279551799647926,1.2046060486930779,1.0351751489613048,0.26956767800394366,1.2492389537135382,1.353735419944846,1.0784883098917764,1.4557986287553921,0.23027408293610996,0.5222139142864816,0.9319061616644334,1.1232346008276264,0.8206931348465327,0.3403695019769878,1.1946212589680418,1.0002245816560003,1.0080525373126468,0.9608145878531922,0.9167900666221912,0.44231130488311243,1.2152526897336628,1.2893315087995492
applesauce,1.0082253487836488,0.9414743833432584,0.8390777018568929,0.0,1.1859739163065006,0.5485692562196798,0.5065262934518378,0.9246832205481397,0.8595214906797322,1.049052098689597,1.247947261393942,0.9840064650350728,0.9902719592161828,1.1242066095727035,0.8228033361637065,1.1465736258768076,0.9326224583221446,0.9073761683442432,0.8198245827318476,0.8205637645497523,0.8998162731358009,0.9880217236302392,0.8523553688474894,0.6172619483789281,0.8919409183219462,0.8543510194589314,0.8957559059269415,1.1465643734779094,1.0626481479080125,0.8976744814049202,0.8967398515696703,0.7531923464023467,1.1787974771083145,1.076881246998874,0.8558444934980456,0.9517129491783223,1.0474296355960495,1.0309071390903386,1.1339747220844336,1.2461593945006288,0.9061948191310467,1.140762913044906,0.804991265707568,0.9823298292983388,0.9691945142740878,0.6799974406939266,1.0920758201803096,1.1536648641309932,1.0758133297896377,0.6731179320933959,1.031166956577515,0.6957153974259526,1.1741566439473805,1.1537855947894813,0.9992326912557166,0.8640976533362958,0.6610749237533562,0.7521654369918451,1.0719364054130711,1.0421196663157821,0.6976825903430037,1.038291538196529,0.9579964137229362,0.6237520252736647,1.1441455875057391,0.7319552986650611,1.1492331334219843,0.8777921158316943,1.0218852395958211,0.7370799353702092,0.859985436288383,1.101685223625636,0.9066870401450874,1.0347529592910767,0.8220489401570166,1.199943085941187,0.9998040330437843,0.9561277346377057,0.843372438895158,1.218037642232007,1.1032185591681647,0.7856541756703881,0.9266803942935269,0.7262996601969273,0.9383430846743072,0.8067492230282503,0.8644117430145113,1.0182189382851934,0.8581378044621646,0.9417628286743202,1.0029142013307752,0.8155262354015136,1.0710493804995478,0.7989051254604266,1.1329228471138788,1.1750568563416377,1.170568699632035,1.0869374149420787,0.9942049286033835,1.0751251412264753,0.8297387760006714,1.0116808808443263,0.9709445200626793,1.075898038439092,1.023752920044695,0.8906235389380385,0.8526278329195844,1.007066598151232,0.6493646803657406,0.8639075586235074,0.895267869063769,1.0936618860985567,1.1345324578562848,0.9681521703713935,0.947005260598236,0.9592924729461515,0.9828436599687385,0.8595251986620454,1.174618920436814,0.8441513729335883,1.0510594627185847,0.7754451183723489,1.190631371826529,0.9774069683701518,0.9748342389357406,0.8614755963768693,1.1708540451617135,0.7413157234880746,0.7638298174607175,0.8836311655300197,0.595990092764813,1.026753548509061,0.9815267137297712,0.8690139674894819,0.9434316183097022,1.0972034685911463,0.9743819488194116,1.11173673364433,0.7183701003681433,0.9642151621219424,1.1444202374641894,0.8335563984947939,0.8689094248867932,0.5974987370167746,0.8625222315151417,1.0720113160720321,0.8483463079460061,0.9219699829221104,0.8726614925241056,0.9289352931217734,1.0952646121292307,1.1860184372227747
arm,0.5546675527449625,1.1716052228422418,1.4150683594632265,1.1859739163065006,0.0,1.2817350795378664,1.388085777319913,0.9810368953831884,1.3334636816102738,0.6564823063922302,0.5837738511035337,1.0331341112070884,0.8802934417462678,0.538392002962906,0.9383628017884639,0.7421718970256787,0.8421391818443683,1.2020200644286432,1.3888800355548816,1.4007266493438235,0.9441385297204622,1.323825161838478,1.1916823804948435,1.285087710865076,1.4642356588033496,1.3052587259928243,1.329172833293936,0.8499745573773678,0.908812639622724,0.9932400859985782,1.0975225485891968,1.3668093322254302,0.9313537407031014,1.0890100008991093,0.9087135633453303,0.9674078065190768,1.0903890705419272,1.057390752004269,0.815772311586921,0.7240389781415414,1.343048040833272,0.7127268594728043,1.3994522527979907,1.1771010264768758,1.1379097856653086,1.071637425137557,0.7746921838032967,0.8272214412576268,0.6439898129097734,1.1716953932057252,0.9766963947184214,1.317584602025289,0.5443689696437715,0.7661163431027167,0.8334958786161087,1.090473527648312,1.3486968116487312,1.15612909463972,0.8453847641080259,1.0852854431317098,1.0401081297023045,0.8755634048815641,1.2902184875211884,1.1664720963242594,0.8205353607261687,1.4046457843602176,0.7212781388121277,1.048739010065201,0.534168897099815,1.324180929362727,1.1345118426203278,0.5089614393001338,0.7756824319435043,0.7941822842771904,1.1311558501814234,0.4931857099563388,1.0050212357412467,0.9893172491905363,1.3840110041158558,0.531838430213416,0.9119238044434653,1.0474289700042072,1.0148309310258703,0.8199160395875396,0.9066701425923653,1.0051495310901846,0.9849200001999661,1.3050613489991836,1.2809092729984919,1.0870314134411903,0.9519255756512691,1.2542083194189089,0.967214195277164,1.311409081245667,0.529561901136582,0.667149266242587,0.7183752327095936,0.8454057298211148,1.2654051164719222,1.2591046416595315,0.850023226819735,0.8907044534608581,0.6852038787755437,1.1584010861395346,1.0041568944583859,1.1310777265970438,1.4495599408186886,0.7292427129614799,1.2704150472173428,0.9596373167972767,1.1565418771840483,1.1792730327368925,0.8126432837258182,0.9482080428023629,0.9779366175313753,1.3015352975623289,1.0069464493017515,0.7640047031417695,0.5166710599963635,0.9742563263493033,0.766328883599097,0.9517855265462573,0.6093147716844063,0.8104167933708797,0.5921778236597895,1.396142190118232,0.6556256522351978,1.328061036431301,1.0364737863121878,0.8246786458793182,1.040755449880363,0.7367348887192501,0.862236454139047,1.3038030194783046,0.9375524216915184,0.5809780006655842,0.7767718456126349,0.5879244783449513,1.5125881220273925,1.0918240691288241,0.8979261443931152,0.7664288367556955,1.2740610893465787,1.368460929913053,0.9284112998182577,0.7918530978114049,0.9861228192683776,1.050245984593954,1.1416484262502007,1.2372874380443557,0.7836825912747445,0.7104349964003466
ball,1.1364493989504865,0.7852732133964277,0.43963357027640826,0.5485692562196798,1.2817350795378664,0.0,0.24634151080286393,0.7877598738494238,0.7363116718620769,1.1520474113515144,1.2405766442232589,0.919564210951064,1.085926139433746,1.1741436230286861,0.7747713229583416,1.1308106085043517,0.8335024626502401,0.8145683926716754,0.5599159401600105,0.5911650601364077,1.025654216052459,0.7223360475069788,0.8039244338894076,0.561402649957742,0.8092402545919524,0.875692714964857,0.7123284990726418,0.9653522322527658,1.0755635417752663,1.0352585826024996,0.9501216910998573,0.57221355212749,1.2491779773063967,1.0178686957456027,1.1048451002324695,0.9867106311975005,1.0228396940303108,0.8632071637835871,1.237026630821221,1.3042605901580178,0.62842038170453,1.2282130620132314,0.5606508193121119,1.0873365901109915,0.9586367730201883,0.8150569167856692,1.1980417430494084,1.299244180556435,1.1758234015569993,0.7340575492672171,1.059076700591707,0.3696643854207655,1.1273550903179061,1.177103815677175,0.9202633718167963,0.9451592071406774,0.6287807970921083,0.7372109374312474,1.0429618613532579,0.9699703798766471,0.7511061019700347,1.0312943089922106,0.7999201610226576,0.7521966396849837,0.9982751519913475,0.47493602454368344,1.190474151041461,0.8263620757092399,1.0633728667990028,0.5887925297625558,0.8616208636460195,1.14566934155459,0.915508852812926,1.0914336417054515,0.8001986206758298,1.2902515075523886,1.0201095408116279,1.0241838593466808,0.6482217228420143,1.24130138750782,1.0557745361104205,0.6009946542181828,0.929950257468147,0.9138991595110645,1.0492149588055453,0.8554925122414679,1.0083635714646944,0.6516003450373948,0.8621428188695033,0.8748692743840942,1.0568881359634799,0.5138743935567884,1.275059902769125,0.7267911337879243,1.2672752453473022,1.249536696797571,1.1532443763238964,1.1740717410725736,0.8671063225404565,0.8312455586300125,0.9828809453091516,1.077981609653018,0.9638380535911636,1.0727055966497077,0.9167430677621649,0.8328499386350852,0.5791646659692671,1.0479737827614055,0.26648067043316426,0.9298765992900742,0.9353058582035416,0.8662517322670688,1.2911531070058935,0.8684651364499567,1.0393759145548325,0.8901655536320126,1.0283618153225398,0.8458836207145072,1.2486034825343153,0.7955819874860113,1.1570361183845452,0.8120123654993326,1.147705186805588,1.1077757492227716,0.9593328826126982,0.6255880236617446,1.0350858717217106,0.5994229681670018,0.7350996300951411,1.0016507752159367,0.7698507756562698,1.0454772398125107,0.9383535361215009,0.6428866235777017,1.0450261764818627,1.236010000288842,0.9045057126777746,1.2071761618993602,0.4267900931536488,0.7496665842145439,1.0758123214277848,0.9682959751231162,0.8481613145026845,0.3662120237862849,1.0610905426267352,0.9884189530060492,0.8299704808873138,0.8752656172224194,0.927510419777763,0.7279809798910324,1.165255628837521,1.1950149231641012
balloon,1.273113947715733,0.6036925037838964,0.2629342171812371,0.5065262934518378,1.388085777319913,0.24634151080286393,0.0,0.6603434109320154,0.6623118685790176,1.2148257250664352,1.446478849460556,0.8294445710920612,1.0653800144180188,1.344354516533899,0.7887797810693137,1.2477586377607184,0.9779964960161437,0.6770905412517731,0.38130461043709896,0.37544634692095813,1.0592053803697394,0.5406461451331168,0.6728925098372178,0.37246002609903717,0.5498101535559938,0.6522771715449018,0.6147040110389942,0.819737103502796,1.016265052992261,0.9922034776655921,0.9155276832062771,0.46758945869168145,1.2978809436499716,0.93737222168369,0.9850688545332319,0.9556323240363116,1.0442204287852195,0.8657331927806723,1.3165588602507765,1.3538088759569613,0.3962141142267105,1.3457875693189991,0.3318697510231621,0.961364631143886,0.8789504514150652,0.894394308906723,1.1698139616152363,1.3297994484812716,1.287762354161795,0.6592177400932379,1.0467697860145941,0.30171221104075374,1.2241305831782974,1.2385473721464109,0.8610172947823107,0.8743938399449842,0.3491545261061062,0.6271749054317046,1.0324766195881836,0.7839780907592035,0.6954978571122326,1.0500536167537144,0.6145536089510071,0.632963029896058,1.0814094328198753,0.281748541292436,1.2896194623317812,0.7954786799672556,1.1237706432948318,0.4916056925990714,0.8141891924077705,1.219006498594123,1.0016171621744239,1.2092872871912543,0.7911518234165701,1.4477886668192554,0.8414615023859644,0.9822504468927002,0.4211115520747919,1.2910383641592413,1.1403354456193973,0.5243589959697907,1.0351384193105053,0.897082799762287,1.0629279410268457,0.9332814445115369,0.9204319888885941,0.49341041730772495,0.7092262772006543,0.700038986377886,1.0152144020153586,0.3996783696575491,1.2889794092034115,0.7083614486719045,1.3994918559269638,1.3758694758815024,1.219891102755756,1.204591128218939,0.632479801328453,0.6062896140551629,0.992130033038863,1.0398117902776363,1.0657031738147957,0.926123444206535,0.9819946126469301,0.801888405290794,0.3828005207051375,1.1211186859429814,0.28843142399144206,1.0701816359647731,0.9291766261782846,0.7658633147198184,1.3395812545556811,0.9430308914901413,1.1253914186545624,0.6851521933126884,1.0320193560945536,0.8856665439203028,1.389144215964699,0.9532245119758321,1.2475617884825454,0.7412984553348663,1.2144848098004761,1.0308217334315741,1.1239121006086543,0.4164255569325461,1.0972717920243023,0.4836322365856427,0.7391426850484117,0.9599631930012554,0.6451370485435521,1.1256452514509618,0.9392758326258488,0.4569022939853189,1.162371627053988,1.3206758898300592,0.9850565573496897,1.357278576719679,0.24748753232772147,0.618311837150244,1.0300544977529862,0.9219689914765715,0.7354398336368859,0.2544558622665991,1.0218160553098097,1.0134171217122323,0.8818319243006243,0.8876771769779063,0.7968774884463068,0.5940190162134965,1.144846812286881,1.3301296138679426
banana,0.80327708430083,1.0021710550161358,0.7328618836787688,0.9246832205481397,0.9810368953831884,0.7877598738494238,0.6603434109320154,0.0,1.0163148100941681,0.8758625054934814,1.0734798905459557,1.0058054378491472,0.9910543523108771,0.9805998424893935,0.7576874569784318,0.9288697264095146,0.6558005458174756,0.7636896556272259,0.850999031220105,0.8069317340801728,0.985224977042089,0.7579012697531732,0.8415299015321047,0.7082868931014155,0.8771845665727475,1.029559626550271,0.9345435000618785,0.9096731434083629,1.051514392089413,1.1032069091495038,0.6815830094917252,1.0024504655909758,1.148938244891617,1.0239066306765163,0.799744244866829,0.9555367554294905,0.9901180979779616,0.7441802535853568,1.1503326118433268,0.8885675600113192,0.7728151505545247,1.1522530945579241,0.8484196333254834,1.1152482679980538,1.156097886772974,0.9849107409375996,1.2034325500930088,1.1820158855927954,1.04589976432378,0.8759135678880905,1.0815778152338762,0.8789791814524084,0.8948082448446179,1.0616450931095163,0.9993240836633225,1.022491647883538,0.5553580209220079,0.8049019911765074,1.0338302566343633,0.9385217206992296,0.5085331131472983,1.0218467695410798,1.0662265111480547,0.8825656912484809,0.9066693945097335,0.7337022630914632,1.1042287669185358,0.5563017251168847,0.9470402419012189,0.9716713414780112,1.0137942275027632,1.0118334036308245,0.8017786632332615,0.9697102056612511,0.8883327451214926,1.0722864363952447,0.8587083238127599,1.022883984591563,0.965101837598135,1.1657274818054588,1.0978097224170638,0.3677438288351853,0.9299066750308023,0.8251178711485617,0.9765619751840889,0.8314002204163822,0.8971829407248404,0.9984143283202779,0.9574346792104406,1.1120030352965984,1.1629720407196416,0.6135404890776266,1.3678729325788348,0.8804611164525802,1.1400918270366427,1.1049037250555638,1.0294183267841817,0.942916058111526,0.8970791721642071,0.8513857167979755,0.9473216414158948,0.7740628432299724,0.9721132939035272,1.163979460149533,0.8608582771951402,0.8686959230806637,0.809542209950735,1.0178359077090768,0.7733353148481348,0.9175851743270764,1.0691234893745234,1.062426001824884,1.253763187431385,0.9220717511585933,0.9444349034036751,1.029781122188578,1.0408048336983227,0.6412529249513332,1.1238349676113983,0.8338248187107925,1.1507166141983438,0.6916390123803179,1.0291150573388441,0.8867254825885802,0.6673855149924109,0.904378241433225,0.920280923635832,0.8274753961091419,0.8793660563893735,0.7056518327962366,0.807422809221519,0.8983017869974128,0.8705471070782493,0.8889408872096976,1.0775788470971768,1.0655837560298396,0.9048370545379011,1.0292192876890196,0.7246939967366548,0.9658480622105927,0.9275629180944935,0.7880591483052023,0.9698154833204966,0.5108234396394447,0.9072528187770681,0.8376511132838138,0.9366207908058919,1.0191325757159517,0.9688644096512385,1.0135415794489657,1.1063491213221002,1.0616903828878668
basket,1.2991207004954153,0.8037694179210225,0.7592374329367999,0.8595214906797322,1.3334636816102738,0.7363116718620769,0.6623118685790176,1.0163148100941681,0.0,1.0329595962695817,1.1702703194572845,0.7638087301492082,0.6818794517899989,1.2501347212465916,0.9117588053006487,1.0370785854789724,0.9837753609644783,0.43428154703175104,0.5227288226024837,0.5113283846267573,0.6208845763223476,0.7128157760529095,0.6264870853571516,0.4621199464430765,0.7510653394604022,0.36960640209297546,0.609939239312871,0.9830388712956194,0.9024024706521522,0.6241201075339476,0.9116053988273856,0.5506811491714999,0.9190049778242548,0.9961835439054633,1.1156528063007674,0.6703617342958114,1.10542716099495,1.062969387802434,0.91735680522118,1.2020954726488866,0.5749612597125633,0.9904844282049587,0.532529625124897,0.9999957099377303,0.8865374239713117,0.84297108431614,0.9269432576037934,0.8134579744877357,1.2575576251325524,0.709276213165248,1.1817556976293222,0.8705641967336578,1.1698982594362908,1.3383549658950207,1.13666958224196,0.7106064628960975,0.7300625758804549,0.7192555643236399,1.0551975762173518,0.820115115276836,0.9908759788231457,1.0193364928984288,0.8300322951753822,0.6888527022835933,1.129842954699558,0.6374769657145598,1.3249842208574947,1.0813578976029294,1.2477336089739688,0.7191146221305611,0.7937299980176186,1.2651880625366507,1.0190371396413056,1.0256810785807653,0.7714288685594,1.3295208524909061,0.6777821106979984,0.6340426086654518,0.4517789482445268,1.2631229012850458,0.9478505124022986,1.0334641024758557,0.9321488489561125,0.9385423187568241,0.9004779012293314,0.8986936935153657,1.1413868423237525,0.8725378029173825,0.5975686947101586,0.8359752275745772,1.2966297041748598,0.9157238314094228,0.7325918521331914,0.7606315598652746,1.2790734474045298,1.2409787164315285,1.1185765685218938,1.1275092439186607,0.6375886826633983,0.6945865077263489,1.0455921246028708,1.1701749348844488,1.1315404479701956,0.5902774148820749,0.6281442670115096,0.7854153410892537,0.5434148480334348,1.044927768254521,0.6501386106659944,0.8203043419442408,0.6368756814478667,0.9103827341278524,0.9265614282223458,0.8845066908397459,1.0464101086452093,0.5409287667593311,0.9302578656615408,1.0392800355672522,1.2837536459638947,0.8098995157089182,1.1130215071582203,0.7623401222171865,1.1117842457099019,0.8153396742942762,1.191705321353738,0.5457174576786108,1.069606705408972,0.6567051457234252,0.5824497998159046,1.0667387491714921,0.8119275667458092,1.1564258069458127,0.8890059742890213,0.7725547648793002,0.9841158908223212,1.2437085702885762,1.0901798512978216,1.1035002552353144,0.5734025012995791,0.9338016125214534,1.191100339322861,1.0095681319688354,0.5267523012372747,0.5988868840640352,0.745778060852513,1.0119518453298713,0.7370300216797264,0.7748668500097007,0.5984543156935498,0.7723108829016908,0.8790349646108877,1.2063943460759392
bathtub,0.5645199248931678,1.3684361061302053,1.3551945757233723,1.049052098689597,0.6564823063922302,1.1520474113515144,1.2148257250664352,0.8758625054934814,1.0329595962695817,0.0,0.3848021381077651,1.1257877113647683,0.49896000083212433,0.7842396749474905,0.8387698220898054,0.5728038073229823,0.42156538517374076,0.9294763030509345,1.2847657360703308,1.0999863325517607,0.30506339720304276,1.3685637128098487,1.001367924907403,0.7671313099508718,1.3594239715322987,0.8222908636826365,1.080611056399625,1.1811675366428436,0.8343953412934308,0.6856824635568761,1.00368612715741,1.2046284476914446,0.5798654109288944,0.9975823158104421,0.8680236022736173,0.9787826153432857,1.0432972937281537,1.2612977252728756,0.5512805239983826,1.027931965009937,1.2812246930473417,0.4181309336407303,1.2300681456757405,1.1769391377982863,1.1293543110639879,1.10045657529647,0.6886730407936771,0.6119964515285345,0.8280307424417827,1.0173512719329754,1.1343426857602807,1.3429846266884569,0.6418351383526304,0.8889727083980813,1.299110499080876,1.063755452107379,1.1416460645670652,1.04559659511466,1.2237179551949793,1.1723761944664757,0.8966902519636234,0.8431603069045137,1.4016656737646422,1.2364175346160082,0.6487130007087164,1.3908920983590063,0.8698845681916705,1.195839465463522,1.0785895339824239,1.2288000204901903,1.0552801915851007,0.7149843277135375,0.6488584965933466,0.5761657441464175,1.0634725034008439,0.6231917349124367,0.9020429223738182,0.743229027618874,1.2183759957059062,0.9254573452626484,0.9285013608956564,1.0794179624509888,0.8774514910356594,0.9099811652074487,0.6968713337397597,0.7567369375547404,1.1115846544766663,1.3511909772938113,1.0771631336215899,1.3643003950224109,1.2782916293453515,1.2041855923589686,0.7571031767920209,1.2079723757750833,0.7435509062213271,0.689723889124233,0.780513313594496,0.8370899661374378,1.1954641940989805,1.192322564743873,0.8779171106912134,0.9983642007764446,0.9540553456750861,0.9815004739597851,0.9616865553382135,0.9412904324657179,1.206389656981921,0.8969612610076791,1.277646825573879,0.6580378810104826,0.8451357497174146,1.265629451607035,0.6020736163576288,0.7592510065186117,0.9294319864245939,1.1128974515138275,1.0580920866656083,0.7975747380830202,0.6981381626301054,0.89391845444753,0.8376784629996183,0.730280966235189,0.5471069287342014,0.3509395617990776,0.2894406136219343,1.33172016610543,0.6121270075804932,1.1282664121487866,1.0367080683796814,0.7355500475221144,1.0910130763482657,0.6371022475010725,0.8652317700267771,1.2551517811074744,0.7054764666098359,0.6170736517886584,0.7414038101550298,0.33824732303615557,1.2944974108644622,1.3774654226220018,1.1070243322460338,0.9742873499416602,1.0117246843430354,1.0862386602007843,0.7187548504697595,0.6929206126739132,0.7608186076091203,0.7808225048018318,0.8299601985143497,1.3895771933515269,0.6283342795410471,0.7273300179766362
