category,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,n_bv
bird,13.597389307273918,1.038305536028352,375
car,13.492783696207173,1.4518187166943692,2323
dog,13.310734721439896,1.2446223661428701,4205
tree,13.04737625297955,1.0603731548083721,1929
swing,12.848097292672534,0.9780956864989309,223
bottle,12.810714669711126,1.031195598266917,60304
bucket,12.794084114095583,1.0465909645913827,38435
cup,12.783684569871205,1.0867587946197683,105034
bowl,12.748099571242788,1.1719054476579458,84340
chair,12.68540515273549,1.2159116518699713,261847
plate,12.659476724735555,1.1243674386973157,73202
bench,12.627862630441852,1.0916198205061483,7074
hat,12.621549569541097,1.1261923330030528,15166
jar,12.57530412595964,1.1018819144064416,2155
glass,12.532044638812918,1.179789176781347,832
toy,12.530710224335971,1.1591275887964507,103022
ball,12.521109489284562,1.3169588521531241,31235
tray,12.417089684332302,1.2100949489957038,10348
clock,12.375723332156989,1.701834015211299,10895
cracker,12.361219931556768,1.19429253568453,514
basket,12.337399518319392,1.3277579325775544,29745
can,12.32356619347721,1.2715525279321604,4817
crib,12.23493976899807,1.351199805078234,7976
sink,12.17800839733977,1.2600257128947736,34414
box,12.141367760294841,1.1468526792243825,66750
lamp,12.140082870299693,1.453610392166514,200573
cat,12.128209473548335,1.2527526851564252,3609
fork,12.11473605537276,1.4357548768691093,7869
towel,12.114107591609761,1.0773230644754603,33272
vacuum,12.110064057382136,1.148681072847188,4433
shoe,12.007470654080947,1.2225326242245451,8408
pony,12.004320589923255,1.3167770140658646,244
balloon,11.987455918396028,1.2874851544211683,24663
apple,11.962389376473753,1.4237631332425078,11674
stick,11.907789224446086,1.5394469536752868,79
refrigerator,11.9054213571211,1.5216388603809516,66957
purse,11.886229711664996,1.1445171468059496,10269
slide,11.850101072478555,1.440692986130639,5723
napkin,11.820813096013062,1.200324878500274,35562
bed,11.813213732207988,1.354032161494908,85010
grass,11.796640178004633,1.2038198808735332,3803
jacket,11.78302199104422,1.11961783224208,1252
hand,11.750608939586526,1.1245011983418165,42061
doll,11.665689042427275,1.1054965127967606,3809
flower,11.64776104602304,1.553718839576514,6433
shower,11.644193107062291,1.535489576819285,296
paper,11.619258001979421,1.1428414567177112,5505
rock,11.611240570221167,1.341499912161854,254
pillow,11.594724873406088,1.230791552352259,142943
necklace,11.5939056389238,1.5587363991330159,3668
closet,11.58221073093359,1.3563972362874186,1529
table,11.565560065822684,1.3067554858373338,164719
oven,11.479643548367102,1.5469023073491217,28153
blanket,11.45364127597684,1.3518779341157552,28388
arm,11.41406743320375,1.1508782902935144,3084
pajamas,11.405749864345415,1.0682624727294456,3041
toe,11.402645590256466,1.2148528648576733,22234
book,11.389608965391126,1.2071328659727503,44652
foot,11.346286955871365,1.3665681995290824,728
couch,11.339845528455289,1.2325886424195305,162393
sock,11.325338490144125,1.1714650982881025,3368
dress,11.312997860675733,1.2313204827861615,1087
watch,11.230398939414979,1.3938999191591859,3070
drawer,11.217193090821212,1.837964670593234,20456
window,11.206302834480669,1.349097858454527,56686
door,11.183330976831103,1.421272148442936,63777
finger,11.163198472848734,1.2605634333839728,5343
shirt,11.072717931273045,1.146771547318941,9402
plant,11.047438953809845,1.4121576377207579,30220
nose,11.041937959042704,1.7999417647234144,859
eye,11.03885194905706,1.3292559368714372,182
scarf,11.029730619568538,1.4637839042963554,338
sweater,11.018877769196322,1.1857024637904607,989
jeans,11.00059449653961,1.176932253501253,4220
shorts,10.855550584834461,1.2272762787870075,3792
glasses,10.764000969544426,1.4009181285201056,59879
pants,10.750955961108865,1.1704774158112095,5664
stroller,10.723557278888082,1.6742328705576055,9463
face,10.709669440210794,1.4975807606910918,557
hair,10.583308490488076,1.3984804239519617,7310
butterfly,10.302525365527805,1.560943581403034,386
ear,9.975481545876232,2.460479289121653,298
mouth,9.877666019182925,2.0770370691748483,318
tooth,9.221043593173324,3.1028988786232783,410
dish,8.675882698254403,3.817949796958967,986
